name,state,latitude,longitude,population,timezone,search_name
Rājgarh,Madhya Pradesh,24.00826,76.7325,29726,Asia/Kolkata,rājgarh madhya pradesh
Mīnād,Kerala,8.85031,76.69516,29716,Asia/Kolkata,mīnād kerala
Nedumbassery,Kerala,10.15646,76.40167,29706,Asia/Kolkata,nedumbassery kerala
Rājūra,Maharashtra,19.77947,79.36459,29668,Asia/Kolkata,rājūra maharashtra
Bilāri,Uttar Pradesh,28.62146,78.80361,29666,Asia/Kolkata,bilāri uttar pradesh
Mūvattupula,Kerala,9.98493,76.57728,29664,Asia/Kolkata,mūvattupula kerala
Adūr,Kerala,9.15595,76.73192,29652,Asia/Kolkata,adūr kerala
Walwadi,Maharashtra,20.92085,74.76111,29636,Asia/Kolkata,walwadi maharashtra
Puthuppally,Kerala,9.55752,76.57483,29635,Asia/Kolkata,puthuppally kerala
Mīrānpur Katra,Uttar Pradesh,28.02963,79.66778,29626,Asia/Kolkata,mīrānpur katra uttar pradesh
Rāisinghnagar,Rajasthan,29.53583,73.44917,29626,Asia/Kolkata,rāisinghnagar rajasthan
Kidarakulam,Kerala,8.56688,76.99129,29624,Asia/Kolkata,kidarakulam kerala
Kuttuparamba,Kerala,11.82775,75.5659,29619,Asia/Kolkata,kuttuparamba kerala
Ārangaon,Maharashtra,19.02681,74.71487,29591,Asia/Kolkata,ārangaon maharashtra
Pakridayal,Bihar,26.56271,85.0452,29582,Asia/Kolkata,pakridayal bihar
Dhanera,Goa,24.50967,72.02343,29578,Asia/Kolkata,dhanera goa
Chengamanād,Kerala,10.15409,76.34159,29576,Asia/Kolkata,chengamanād kerala
Lākheri,Rajasthan,25.67237,76.17692,29572,Asia/Kolkata,lākheri rajasthan
Kalavoor,Kerala,9.57046,76.32756,29564,Asia/Kolkata,kalavoor kerala
Behror,Rajasthan,27.88832,76.28108,29531,Asia/Kolkata,behror rajasthan
Reddipālaiyam,Tamil Nadu,13.10778,80.12056,29511,Asia/Kolkata,reddipālaiyam tamil nadu
Zunheboto,Nagaland,25.96667,94.51667,29499,Asia/Kolkata,zunheboto nagaland
Rajaori,Jammu and Kashmir,33.37526,74.3092,29486,Asia/Kolkata,rajaori jammu and kashmir
Sankagiri,Tamil Nadu,11.47599,77.86637,29467,Asia/Kolkata,sankagiri tamil nadu
Mharal Bk,Maharashtra,19.24588,73.1771,29462,Asia/Kolkata,mharal bk maharashtra
Maināguri,West Bengal,26.56263,88.8204,29459,Asia/Kolkata,maināguri west bengal
Nedumpana,Kerala,8.90796,76.69298,29454,Asia/Kolkata,nedumpana kerala
Puttankulam,Kerala,8.8138,76.71791,29447,Asia/Kolkata,puttankulam kerala
Nāgar Karnūl,Telangana,16.4821,78.32471,29439,Asia/Kolkata,nāgar karnūl telangana
Sāgwāra,Rajasthan,23.67951,74.02013,29439,Asia/Kolkata,sāgwāra rajasthan
Ibrāhīmpatnam,Andhra Pradesh,16.58303,80.51432,29432,Asia/Kolkata,ibrāhīmpatnam andhra pradesh
Vadakku Valliyūr,Tamil Nadu,8.38286,77.61221,29417,Asia/Kolkata,vadakku valliyūr tamil nadu
Jāmtāra,Unknown,23.963,86.80285,29415,Asia/Kolkata,jāmtāra unknown
Khedbrahma,Goa,24.0299,73.04632,29402,Asia/Kolkata,khedbrahma goa
Tirukkalikkunram,Tamil Nadu,12.60799,80.0555,29391,Asia/Kolkata,tirukkalikkunram tamil nadu
Talakkolattur,Kerala,11.35366,75.75798,29388,Asia/Kolkata,talakkolattur kerala
Pālkonda,Andhra Pradesh,18.60374,83.75568,29378,Asia/Kolkata,pālkonda andhra pradesh
Dhāri,Goa,21.32855,71.02645,29346,Asia/Kolkata,dhāri goa
Amballūr,Kerala,10.43431,76.26341,29341,Asia/Kolkata,amballūr kerala
Koovappady,Kerala,10.15525,76.48544,29339,Asia/Kolkata,koovappady kerala
Chendamangalam,Kerala,10.16322,76.23456,29326,Asia/Kolkata,chendamangalam kerala
Jewar,Uttar Pradesh,28.122,77.55734,29316,Asia/Kolkata,jewar uttar pradesh
Nawāpāra,Unknown,20.97173,81.85884,29315,Asia/Kolkata,nawāpāra unknown
Tarsadi,Goa,21.46996,72.9521,29305,Asia/Kolkata,tarsadi goa
Ner,Maharashtra,20.48971,77.86632,29302,Asia/Kolkata,ner maharashtra
Vijayapuram,Kerala,9.59123,76.56124,29248,Asia/Kolkata,vijayapuram kerala
Husainābād,Unknown,24.52849,84,29241,Asia/Kolkata,husainābād unknown
Udaipurwati,Rajasthan,27.73011,75.47161,29236,Asia/Kolkata,udaipurwati rajasthan
Bachhraon,Uttar Pradesh,28.92694,78.23456,29232,Asia/Kolkata,bachhraon uttar pradesh
Jandiāla Gurū,Punjab,31.56198,75.0277,29232,Asia/Kolkata,jandiāla gurū punjab
Irinjālakuda,Kerala,10.34238,76.21124,29208,Asia/Kolkata,irinjālakuda kerala
Renwāl,Rajasthan,27.15767,75.35808,29201,Asia/Kolkata,renwāl rajasthan
Kumbalam,Kerala,9.9063,76.31127,29193,Asia/Kolkata,kumbalam kerala
Basni,Rajasthan,27.17232,73.64519,29187,Asia/Kolkata,basni rajasthan
Morigaon,Arunachal Pradesh,26.24908,92.34764,29164,Asia/Kolkata,morigaon arunachal pradesh
Madhugiri,Karnataka,13.66035,77.21239,29159,Asia/Kolkata,madhugiri karnataka
Urakam,Kerala,11.05124,75.98833,29157,Asia/Kolkata,urakam kerala
Islāmnagar,Uttar Pradesh,28.32896,78.72524,29144,Asia/Kolkata,islāmnagar uttar pradesh
Ariyalūr,Tamil Nadu,11.13849,79.07556,29144,Asia/Kolkata,ariyalūr tamil nadu
Ponmana,Kerala,9.00798,76.52023,29139,Asia/Kolkata,ponmana kerala
Mahendragarh,Gujarat,28.26935,76.15253,29128,Asia/Kolkata,mahendragarh gujarat
Mudalgi,Karnataka,16.33685,74.96768,29128,Asia/Kolkata,mudalgi karnataka
Nakrekal,Telangana,17.16259,79.42754,29126,Asia/Kolkata,nakrekal telangana
Unamaucheri,Tamil Nadu,12.8608,80.10659,29122,Asia/Kolkata,unamaucheri tamil nadu
Gorai,Maharashtra,19.25,72.78333,29107,Asia/Kolkata,gorai maharashtra
Uttamapālaiyam,Tamil Nadu,9.80701,77.32718,29050,Asia/Kolkata,uttamapālaiyam tamil nadu
Khandela,Rajasthan,27.60499,75.502,29044,Asia/Kolkata,khandela rajasthan
Sirsāganj,Uttar Pradesh,27.05715,78.68661,29034,Asia/Kolkata,sirsāganj uttar pradesh
Chodavaram,Andhra Pradesh,17.82884,82.93526,29000,Asia/Kolkata,chodavaram andhra pradesh
Umarkot,Unknown,19.66529,82.20629,28993,Asia/Kolkata,umarkot unknown
Hupari,Maharashtra,16.61667,74.40442,28953,Asia/Kolkata,hupari maharashtra
Suār,Uttar Pradesh,29.02841,79.05654,28941,Asia/Kolkata,suār uttar pradesh
Devadurga,Karnataka,16.42314,76.93577,28929,Asia/Kolkata,devadurga karnataka
Manoharpur,Rajasthan,27.29769,75.9495,28928,Asia/Kolkata,manoharpur rajasthan
Nāhan,Haryana,30.56029,77.29426,28899,Asia/Kolkata,nāhan haryana
Lādwa,Gujarat,29.9935,77.04563,28887,Asia/Kolkata,lādwa gujarat
Gil,Punjab,30.84692,75.86362,28884,Asia/Kolkata,gil punjab
Gunupur,Odisha,19.0804,83.80879,28870,Asia/Kolkata,gunupur odisha
Avinashi,Tamil Nadu,11.19297,77.26865,28868,Asia/Kolkata,avinashi tamil nadu
Kotagiri,Tamil Nadu,11.42072,76.86035,28848,Asia/Kolkata,kotagiri tamil nadu
Sikka,Goa,22.43218,69.84158,28814,Asia/Kolkata,sikka goa
Panipat Taraf Rajputan,Gujarat,29.36089,76.94258,28803,Asia/Kolkata,panipat taraf rajputan gujarat
Kondotty,Kerala,11.1423,75.9657,28794,Asia/Kolkata,kondotty kerala
Rusera,Bihar,25.75355,86.02597,28781,Asia/Kolkata,rusera bihar
Desāīganj,Maharashtra,20.62354,79.96454,28781,Asia/Kolkata,desāīganj maharashtra
Maddūr,Karnataka,12.58283,77.04294,28754,Asia/Kolkata,maddūr karnataka
Nongstoin,Meghalaya,25.51704,91.26484,28742,Asia/Kolkata,nongstoin meghalaya
Rāikot,Punjab,30.65,75.6,28734,Asia/Kolkata,rāikot punjab
Dinapur Cantonment,Bihar,25.63616,85.02026,28723,Asia/Kolkata,dinapur cantonment bihar
Jhālod,Goa,23.10097,74.15536,28720,Asia/Kolkata,jhālod goa
Karera,Madhya Pradesh,25.45815,78.13583,28705,Asia/Kolkata,karera madhya pradesh
Murlīganj,Bihar,25.8969,86.99577,28691,Asia/Kolkata,murlīganj bihar
Soron,Uttar Pradesh,27.89055,78.74621,28683,Asia/Kolkata,soron uttar pradesh
Mukher,Maharashtra,18.70636,77.36795,28647,Asia/Kolkata,mukher maharashtra
Vandiyūr,Tamil Nadu,9.90917,78.16088,28646,Asia/Kolkata,vandiyūr tamil nadu
Alandi,Maharashtra,18.67756,73.89868,28645,Asia/Kolkata,alandi maharashtra
Pattāmbi,Kerala,10.80005,76.18408,28632,Asia/Kolkata,pattāmbi kerala
Tekkali,Andhra Pradesh,18.6057,84.23546,28631,Asia/Kolkata,tekkali andhra pradesh
Duliajan,Arunachal Pradesh,27.36035,95.31806,28626,Asia/Kolkata,duliajan arunachal pradesh
Duliajan Oil Town,Arunachal Pradesh,27.3578,95.31407,28626,Asia/Kolkata,duliajan oil town arunachal pradesh
Kāraippudūr,Tamil Nadu,11.05674,77.30613,28602,Asia/Kolkata,kāraippudūr tamil nadu
Ambikāpuram,Kerala,10.79385,76.65303,28592,Asia/Kolkata,ambikāpuram kerala
Sūryampālaiyam,Tamil Nadu,11.40445,77.71227,28585,Asia/Kolkata,sūryampālaiyam tamil nadu
Motipur,Bihar,26.25267,85.16076,28572,Asia/Kolkata,motipur bihar
Ālangulam,Tamil Nadu,8.86404,77.49937,28558,Asia/Kolkata,ālangulam tamil nadu
Addanki,Andhra Pradesh,15.81061,79.97338,28547,Asia/Kolkata,addanki andhra pradesh
Bemetāra,Unknown,21.71556,81.53423,28536,Asia/Kolkata,bemetāra unknown
Milak,Uttar Pradesh,28.61031,79.16997,28505,Asia/Kolkata,milak uttar pradesh
Losal,Rajasthan,27.4,74.91667,28504,Asia/Kolkata,losal rajasthan
Alirajpur,Madhya Pradesh,22.30393,74.35568,28498,Asia/Kolkata,alirajpur madhya pradesh
Pārdi,Goa,20.5087,72.94569,28495,Asia/Kolkata,pārdi goa
Kinwat,Maharashtra,19.62557,78.1987,28454,Asia/Kolkata,kinwat maharashtra
Pasan,Madhya Pradesh,23.16485,81.92859,28447,Asia/Kolkata,pasan madhya pradesh
Lālgola,West Bengal,24.42244,88.25238,28442,Asia/Kolkata,lālgola west bengal
